,program,day,month,year,title,author,key_words,abstract,resume
0,doutorado,17,Dec,2018,"N-Learning, uma abordagem para ensino e aprendizagem autônomos em sistemas multirrobôs","Costa, Luís Feliphe Silva",Sistemas multirrobôs;Robôtica baseada em comportamentos;Aprendizagem cooperativa,"We propose the N-Learning paradigm, which allows the sharing (teaching and learning) of behaviors in multi-robot systems autonomously and at run time. The proposed
paradigm is based on behavioral robotics and uses cooperative learning. In the formal
model, robot behaviors are represented in the form of a graph, where complex behaviors
can be broken down into simple behaviors that, in turn, can be performed simultaneously.
N-Learning allows to change the scope domain of the robot without the need for reprogramming. That is, a robot that does not have compatible behaviors for a given domain
can change and learn from the other robots acting in that domain. This feature is useful
when there are a large number of robots and several, different missions (in different domains) to be fulfilled. N-Learning can also be used with emerging behaviors that need to
be shared with the team. To validate the paradigm, a reference implementation was developed based on the Python language and the Robot Operating System, using the Stage
simulator and real robots. Results show that individuals in a group of robots can learn
through interaction in the multirobot system. The team comes from a state of less knowledge of robots, individually (ie, robots possessing ability to execute a few behaviors) to
a state of more knowledge (robots accomplishing more behaviors, learned online). With
this approach, behaviors that are specific to certain environments, already existing, do
not need to be preprogrammed in the robots, which can learn them with the other robots
of the team. The experiments demonstrate the versatility of N-Learning, validating our
approach.","Propomos o paradigma N-Learning, que propicia o compartilhamento (ensino e aprendizagem) de comportamentos em sistemas multirrobôs de forma autônoma e em tempo de
execução. O paradigma proposto é baseado na robótica comportamental e utiliza aprendizado cooperativo. No modelo formal, os comportamentos do robô são representados
na forma de um grafo, onde comportamentos complexos podem ser decompostos em
comportamentos simples que, por sua vez, podem ser executados simultaneamente. O
N-Learning permite mudar o domínio de atuação do robô sem a necessidade de reprogramação. Isto é, um robô que não possui comportamentos compatíveis para um determinado
domínio pode mudar e aprender com os outros robôs, atuando nesse domínio. Essa característica é útil quando existe um grande número de robôs e várias missões diferentes
(em domínios diferentes) a serem cumpridas. O N-Learning também pode ser usado com
comportamentos emergentes, que precisam ser compartilhados com a equipe. Para validar
o paradigma, uma implementação de referência foi desenvolvida baseada na linguagem
Python e no Sistema Operacional de Robôs (Robot Operating System), utilizando o simulador Stage e com robôs reais. Resultados mostram que os indivíduos de um grupo
de robôs consegue aprender através de interação no sistema multirrobôs. O time sai de
um estado de menos conhecimento dos robôs individualmente (isto é, robôs possuindo
capacidade de execução de poucos comportamentos) para um estado de mais conhecimento (robôs conseguindo realizar mais comportamentos, aprendidos on-line). Com essa
abordagem, comportamentos específicos de determinados ambientes, já existentes, não
precisam estar pré-programados em robôs, que conseguem aprender os mesmos com os
outros robôs da equipe. Os experimentos demonstram a versatilidade do N-Learning,
validando a nossa abordagem."
1,doutorado,20,Dec,2018,SMART: Sistema de Monitoramento e Avaliação do Programa Nacional Telessaúde Brasil Redes,"Paiva, Jailton Carlos de",Telessaúde;Avaliação de Programa;Interoperabilidade;SOA;Inteligência de negócios,"The Telehealth Program was established by the Ministry of Health (MH) in 2007 with
nine technical and scientific centers administered by public higher education institutions
and, since its inception, no standards, processes, applications or quality indicators have
been defined. The lack of these definitions, allied to the decentralization of the centers,
made each one of them to develop their own Information Systems (IS), with different types of language and architectures, without any regulation and integration of information
with the MH, hindering thus the evaluation of the program against the offered services
. In this context, this paper describes a solution proposed to integrate the data produced
by the various heterogeneous systems developed and maintained by the telehealth centers
in Brazil in a central data store so that the MH can monitor and evaluate the results of
the actions of Telehealth. This solution consists of specifying a National Interoperability
Model and the specification, implementation and validation of an architecture, entitled
SMART, based on Business Intelligence (BI) and Service Oriented Architecture (SOA)
paradigms.SMART architecture consists of four main components: web tool for information manipulation with a interactive interface for data exploration; a component for
receiving the data produced by the IS of the centers; a component responsible for saving
the received data in decision support data and; a component that collects data from external sources to compose the data warehouse (DW). For the architecture validation, two
experiments were performed. The first one executes performance tests under high and
extreme workload and the second experiment evaluates if the proposed optimization strategies contribute to the performance and efficiency of the architecture. The results of the
experiments were summarized to attest to the effectiveness of SMART. The analysis of
the results obtained on real data showed that the performance of SMART remained stable over the considered workloads and the high quality was proven since no errors were
recorded during the experiments.","O Programa Telessaúde foi instituído pelo Ministério da Saúde (MS) em 2007 com
nove Núcleos técnico-científicos administrados por instituições públicas de ensino superior e, desde a sua criação, não foram definidos padrões, processos, aplicações ou indicadores de qualidade. A ausência destas definições, aliada à descentralização dos Núcleos,
fez com que cada um desenvolvesse seus próprios Sistemas de Informação (SI), com diferentes tipos de linguagem e arquiteturas, sem qualquer regulamentação e integração das
informações com o MS, dificultando portanto, a avaliação do Programa frente aos serviços ofertados. Nesse contexto, este trabalho descreve a solução proposta para integrar os
dados produzidos pelos diversos sistemas heterogêneos desenvolvidos e mantidos pelos
núcleos de telessaúde no Brasil em um armazenamento de dados central de forma que o
MS possa acompanhar, monitorar e avaliar os resultados das ações da Telessaúde. Essa
solução consiste na especificação de um Modelo Nacional de Interoperabilidade e na especificação, implementação e validação de um arquitetura, intitulada SMART, a qual é
baseada nos paradigmas de Business Intelligence (BI) e Arquitetura Orientada a Serviço
(SOA). A arquitetura SMART consiste em quatro componentes principais: ferramenta
web para manipulação da informação com interface interativa para exploração de dados;
um componente para recepção dos dados produzidos pelos SI dos núcleos; um componente responsável por salvar os dados recebidos em dados de suporte à decisão e; um
componente que coleta dados de fontes externas para compor o data warehouse (DW).
Para validação da arquitetura, foram realizados dois experimentos, o primeiro realiza testes de desempenho sob carga de trabalho alta e extrema e o segundo avalia se as estratégias
de otimizações propostas contribuem para o desempenho e eficiência da arquitetura. Os
resultados dos experimentos foram resumidos de forma a atestar a eficácia do SMART.
A análise dos resultados obtidos sobre dados reais demonstraram que o desempenho do
SMART se manteve estável sobre as cargas de trabalho consideradas e a alta qualidade
foi comprovada, visto que não foram registrados erros durante os experimentos."
2,doutorado,21,Dec,2018,Estimação da taxa de consumo de oxigênio com filtro de Kalman e acionamento PWM da aeração em sistemas de lodo ativado,"Silva, Francisco Jadilson dos Santos",Taxa de consumo de oxigênio;Oxigênio dissolvido;Controle PWM;Estimação;Respirômetro,"The oxygen uptake rate (OUR) is a key variable in activated sludge processes for the
biological wastewater treatment. It has been used to model and optimize the process;
to monitor the quality and efficiency of the treatment; to indicate toxic elements in the
treatment units and to activate alarms; among other applications. The OUR is usually
measured by using respirometers, devices based on some technique to measure the rate at
which the activated sludge consumes the dissolved oxygen (DO) available in the liquid.
In these systems, the DO concentration must be controlled to ensure an adequate level of
oxygen to the microorganisms and to avoid energy waste. The objective of this work is
to propose and implement a method for the estimation of the OUR, while the DO concentration is maintained around a constant reference value by using aquarium air pumps
driven by a PWM control signal. Numerical simulations and experiments conducted in
a laboratory scale activated sludge reactor are used to evaluate the proposed method and
the results confirm its validity.","A taxa de consumo de oxigênio (TCO) é uma variável chave nos processos de lodo
ativado para o tratamento biológico de águas residuais. Ela tem sido utilizada para modelar e otimizar o processo; para monitorar a qualidade e a eficiência do tratamento; para
indicar a presença de elementos tóxicos nas unidades de tratamento e acionar alarmes;
entre outras aplicações. A TCO é normalmente medida por meio de respirômetros, equipamentos baseados em alguma técnica para medir a taxa na qual o lodo ativado consome
o oxigênio dissolvido (OD) disponível no líquido. Nesses sistemas, a concentração de OD
deve ser controlada para garantir um nível adequado de oxigênio aos microrganismos e
evitar o desperdício de energia nos aeradores. O objetivo deste trabalho é propor e implementar um método para a estimação da TCO, enquanto a concentração de OD é mantida
em torno de uma referência constante por meio de bombas de ar acionadas por um sinal
de controle PWM. Simulações numéricas e experimentos conduzidos em um reator de
lodo ativado em escala de laboratório são utilizados para avaliar o método proposto e os
resultados obtidos comprovam a sua validade."
3,doutorado,28,Dec,2018,Antenas compactas e miniaturizadas para sistemas de comunicações sem fio e nanossatélites do padrão cubesat,"Souza, Eduardo Amorim Martins de",Antena planar de microfita;Miniaturização de antenas;Geometria fractal;Comunicações sem fio;Nanossatélite;CubeSat,"Over the last few years, wireless communications systems have tended to reduce size
and dimensions, which implies a growing demand for miniaturization of radio frequency
transmission and reception devices, equipments and systems. Modern nanosatellite
technology also brings this trend to the space industry. In this work, the study of the
combined use of miniaturization techniques of planar microstrip antennas is carried out, in
order to achieve a reduction in size and dimensions superior to that obtained when applied
alone. The specific goal is the design and building of prototypes of miniaturized antennas
as a proposal to be applied in nanosatellites. The miniaturization techniques used in
combination are the fractal geometries, reshape of patch and shorting post. In designs,
results of antenna miniaturization were achieved in 70% for Wi-Fi applications and 60%
for nanosatellite applications of the CubeSat standard. The algorithm Social Spider
Optmization (SSO) was used to optimize specific parameters of the studied structures.
Prototypes of the designed antennas were constructed and measured results showed a good
agreement with the simulated results. A set of prototypes of miniaturized antennas are
proposed to be applied in the CubeSats of the CONASAT Project of the National Institute
for Space Research.","Ao longo dos últimos anos, os sistemas de comunicações sem fio têm apresentando
uma tendência de redução de tamanho e dimensões, que implica em uma demanda
crescente por miniaturização de dispositivos, equipamentos e sistemas de transmissão e
recepção de radiofrequências. As modernas tecnologias dos nanossatélites também
trazem essa tendência para o setor espacial. Neste trabalho, é realizado um estudo da
utilização combinada de técnicas de miniaturização de antenas planares de microfita, com
o objetivo de se alcançar uma redução no tamanho e dimensões superior a que se obtém
quando são aplicadas isoladamente. O objetivo específico é a elaboração de projetos e a
construção de protótipos de antenas miniaturizadas como proposta para serem aplicadas
em nanossatélites. As técnicas de miniaturização utilizadas de forma combinada são as
geometrias fractais, redesenho do patch radiante e shorting post. Nos projetos
elaborados, foram alcançados resultados de miniaturização das antenas em 70% para
aplicações de Wi-Fi e 60% para aplicações em nanossatélites do padrão CubeSat. O
algoritmo Social Spider Optmization (SSO) foi utilizado para otimização de parâmetros
específicos das estruturas estudadas. Protótipos das antenas projetadas foram construídos
e os resultados medidos apresentaram um boa concordância com os resultados simulados.
Um conjunto de protótipos de antenas miniaturizadas é proposto para serem aplicadas nos
CubeSats do Projeto CONASAT do Instituto Nacional de Pesquisas Espaciais (INPE)."
4,doutorado,23,Nov,2018,Análise e projeto de um Conversor A/D Sigma Delta Incremental Multicanal de 4º Ordem,"Soares, Antonio Wallace Antunes",Conversores analógicos digitais;Sigma delta incremental;Sigma delta;Quarta ordem;Aplicações biomédicas;Matrizes multieletrodos;Modelagem;Capacitores chaveados,"Several applications in the instrumentation field require signal acquisition systems
with medium conversion rate and medium to high resolution, among them are the Multielectrode Matrices (MEA). The MEA manufactured on CMOS standard technology integrated circuits have allowed the study of several types of cell cultures, allowing the
stimulation and recording of electrical activities of the cells in vitro. As the CMOS technology advances, the biomedical signal processing is suitably done in digital domain.
Therefore, basic blocks such as Analog to Digital Converters (ADC) are essential to realize the interface in the mixed signal systems. In this way, this work proposes the design
of an ADC to be applied in the multichannel biomedical signal acquisition systems, following the top-down approach for the Integrated Circuit design (IC). The architecture
of the ADC consists of an Incremental Sigma Delta Converter (IΣ∆), which combines
the high-precision characteristic of the traditional Σ∆ modulators with the advantage of
the sample-by-sample conversion of the Nyquist converters, making it suitable for multichannel time-multiplexed applications. The modulator and digital filter which compose
the IΣ∆ ADC consist of the single-loop Cascaded-Integrator FeedForward (CIFF) and
Cascade-of-Integrator (CoI) topologies respectively, both fourth-order. The modulator
was implemented in Discrete Time (DT), using the Switched Capacitor technique (SC).
The circuits were designed using TSMC 0.18 µm CMOS technology and the results were
obtained from post-layout, PVT and Monte Carlo simulations.","Diversas aplicações na área de instrumentação requerem sistemas de aquisição de sinais com média taxa de conversão e média para alta resolução, entre elas, estão as Matrizes Multieletrodos (MEA). As MEA fabricadas sobre circuitos integrados de tecnologia
CMOS padrão têm propiciado o estudo de diversos tipos de culturas de células, permitindo o estímulo e registro das atividades elétricas das células in vitro. Com o avanço da
tecnologia CMOS, o processamento dos sinais biomédicos que, em sua maioria, é complexo, torna a realização do mesmo no domínio digital cada vez mais adequado. Portanto,
blocos básicos como os Conversores Analógico Digital (ADC) são essenciais para realizar a interface em sistemas de sinais mistos. Desta forma, este trabalho propõe o projeto
de um ADC a ser empregado no sistema de aquisição de sinais biomédicos multicanais,
seguindo a metodologia de projeto top-down para concepção de Circuitos Integrados (CI).
A arquitetura do ADC consiste em conversor Sigma Delta Incremental (Σ∆I), o qual alia a
característica de alta precisão dos moduladores Σ∆ tradicionais, com a vantagem da conversão amostra por amostra dos conversores de Nyquist, se tornando adequado para aplicações multicanais com sinais multiplexados no tempo. O modulador e o filtro digital que
compõem o ADC Σ∆I consistem das topologias single-loop Cascaded-Integrator FeedForward (CIFF) e Cascade-of-Integrator (CoI), respectivamente, ambas de quarta ordem.
O modulador foi implementado em Tempo Discreto (DT), utilizando a técnica a Capacitores Chaveados (SC). Os circuitos foram projetados utilizando a tecnologia CMOS padrão
de 0.18 µm da TSMC e os resultados apresentados foram obtidos a partir de simulações
pós layout, PVT e Monte Carlo."
5,doutorado,31,Aug,2018,Implementação de sistema de transmissão de dados através da linha de potência dos poços com o método de elevação bombeio centrífugo submerso,"Fonseca, Diego Antonio de Moura",Power line communication;Interface de acoplamento;Bombeio centrífugo submerso;Comunicação industrial,"Power Line Communication (PLC) is a widely used data transfer technology in the
industrial world. In the petroleum industry, this technology has been applied to the artificial lift method using the Electrical Submersible Pump (ESP) to transfer the data from the
bottom of the well to the surface through the same cable that feeds the motor. In the first
part of this project, electrical characteristics of a 2,236 meters long ESP cable were measured, such as distributed inductances, capacitances, and impedances. An electric model
elaborated from these measurements proposes to reproduce the impedance behavior for
a range of frequency from 20 Hz to 10 MHz. The prototype of a data transfer system
was developed to send up information about measured variables to the bottom of the well,
providing operators and experts an overview about the behavior of the pump and motor.
The data transfer took place serially, by DC current signal, with the three-phase cable as
a single conductor and the ground connection/wire as a return path. A communication
protocol has been developed, ensuring interaction between the modules. The prototypes
were initially evaluated in the laboratory with an equipment arrangement that provides
a simplified scenario of the ESP system. In a more realistic situation, the modules have
been undergone to actual operating conditions through testing in a 30-meter-deep test
with ESP equipment. In general, the final results achieved with the transmitter and receiver prototypes, especially considering the ESP installation, have proved their efficiency
in the face of low packet loss.","O Power Line Communication (PLC) é uma tecnologia de transferência de dados bastante difundida no meio industrial. Na área do petróleo essa tecnologia é aplicada no
método de elevação artificial por Bombeio Centrífugo Submerso (BCS) na transferência
de dados do fundo do poço à superfície pelo mesmo cabo que alimenta o motor. Na
primeira parte do trabalho características elétricas, como indutâncias distribuídas, capacitâncias, impedâncias, etc., de um cabo BCS de 2.236 metros são medidas e, a partir dessas
medições, é elaborado um modelo elétrico que reproduz o comportamento de impedância
para uma faixa de frequência de 20 Hz a 10 MHz. Na sequência, o protótipo de um sistema de transferência de dados é desenvolvido para o envio de informações das variáveis
mensuradas no fundo do poço à superfíce, proporcionando aos operadores e especialistas
uma visão geral do comportamento da bomba e motor. A transferência dos dados acontece de forma serial, por sinal de corrente CC, com o cabo trifásico visto com condutor
único e o terra como caminho de retorno. Um protocolo de comunicação foi desenvolvido, garantindo a interação entre os módulos. Os protótipos são avaliados, inicialmente,
em laboratório com um arranjo de equipamentos que propicia um cenário simplificado do
sistema BCS. Em uma situação mais realista, os módulos foram submetidos a condições
reais de operação através de testes em um poço de testes com 30 metros de profundidade
equipado com elementos BCS. De uma forma geral, os resultados finais alcançados com
os protótipos transmissor e receptor, principalmente considerando o poço com instalação
BCS, comprovaram sua eficiência diante da baixa perda de pacotes."
6,doutorado,9,Nov,2018,Classificação on-line de situações anormais em operação de processos industriais baseada em processamento de alarmes e variáveis de processos,"Leitão, Gustavo Bezerra Paz",Processamento de alarme;Diagnóstico de falhas;Automação industrial;Sistemas de alarmes;Sistemas inteligentes,"Industrial processes are subject to failures in their thousands of components at any
time and can lead to shutdowns, loss of product quality, equipment damage or even accidents. In this sense, the alarm system is necessary to aid in the identification of process
abnormalities. However, during a process failure it is common for the operator to be
subjected to hundreds of alarms causing overload beyond the human processing capacity.
This phenomenon is known as alarm flood and to treat them properly is a challenge for
the modern alarms systems. Thus, the present work aims at the development of an online alarm processing methodology capable of assisting the operator in the identification
and classification of abnormal situations of the process, especially in moments of alarm
overload. To validate the proposal, a case study was carried out on a process simulator
widely used and accepted by the scientific community called Tennessee Eastman Process.
The results indicate that it is important to identify and monitor the abnormality scenarios
underway in industrial processes. The results show that the methodology is efficient to
identify and follow the abnormality scenarios in progress in industrial processes.","Os processos industriais de grande porte estão sujeito a falhas em seus milhares de
componentes, podendo levar a paradas não programadas, perda de qualidade do produto,
danos aos equipamentos ou até mesmo acidentes. Nesse sentido, o sistema de alarmes é
parte necessária no auxílio na identificação de anormalidades na operação de processos
industriais. No entanto, em momentos de falhas ou distúrbios, é comum os operadores
ficarem sujeitos a centenas de alarmes, causando sobrecarga na sua capacidade de processamento da informação recebida. Esse fenômeno é conhecido como avalanche de alarmes
e tratá-lo é um grande desafio para os sistemas de alarmes modernos. Assim, diante da
relevância deste problema, nesta tese é proposta uma metodologia de processamento de
alarmes on-line voltada ao auxílio ao operador na identificação e classificação de situações anormais do processo, especialmente em momentos de sobrecarga de alarmes. Para
validação da proposta foi realizado um estudo de caso em um simulador de processo largamente utilizado e aceito pela comunidade científica chamado de Tennessee Eastman
Process. Os resultados indicaram que a metodologia é eficiente para identificar e acompanhar os cenários de anormalidade em curso em processos industriais."
7,doutorado,28,Sep,2018,Análise da determinação da constante elétrica de materiais sólidos e líquidos usando parâmetros de transmissão na faixa de microondas,"Soffiatti, André",Permissividade complexa;Caracterização de materiais;Método do espaço livre;Antenas de microfita;Sensor metamaterial,"With the rapid growth of technology, it has become necessary to develop sensory devices
for the control and automation of various agricultural, pharmaceutical and food processes
in order to better understand the dielectric properties of materials and measurement
techniques. This work presents an investigation and construction of an electromagnetic
sensor system based on planar and non-planar antennas that are used to evaluate
impurities in solid and liquid substances according to the quality of transmission between
them. For this, a dedicated configuration was implemented with tests in several
frequencies, to monitor the behavior of the transmission variation between the antennas
using the free space method. Transmission analysis was also performed between the
sensors, varying the angles of transmitted signal incidence and distance. The proposed
sensor system was tested at several frequencies resulting in different sensitivity values.
The prototypes were constructed and tested to analyze the dielectric effects of impurities
in liquid substances of Epocler, NaCl and C2H4O2 and solid in medicaments such as
tablets and capsules of different sizes and weights. The methodology used a simple
technique to calculate the parameters of scattering [S] in solids and liquids and with its
processing to obtain the dielectric properties of the materials considered. In addition, a
mathematical model is presented for the transmission parameters related to the dielectric
constant εr. In the experimental procedures, the parameters [S] are collected in free space
by the Vector Network Analyzer (VNA), using horn antennas and also planar antennas
with metamaterial. The theoretical and experimental results are validated through metric
coherences obtained.","Com o rápido crescimento da tecnologia, tornou-se necessário o desenvolvimento de
dispositivos sensoriais para o controle e a automação de vários processos agrícolas,
farmacêuticos e alimentícios, a fim de um melhor entendimento das propriedades
dielétricas dos materiais e das técnicas de medição. Este trabalho apresenta uma
investigação e construção de um sistema sensor eletromagnético baseado em antenas
planares e não-planares que são utilizadas para avaliar impurezas em substâncias sólidas
e liquidas de acordo com a qualidade de transmissão entre elas. Para isso, foi
implementada uma configuração dedicada com testes em várias frequências para
monitorar o comportamento da variação de transmissão entre as antenas utilizando o
método do espaço livre. Também foi realizada análise da transmissão entre os sensores
variando os ângulos de incidência de sinal transmitido e da distância. O sistema sensor
proposto foi testado em várias frequências resultando em diferentes valores de
sensibilidade. Os protótipos foram construídos e testados para analisar os efeitos
dielétricos das impurezas nas substâncias líquidas de Epocler, NaCl e C2H4O2 e sólidas
em medicamentos como comprimidos e cápsulas com diferentes dimensões e pesos.
A metodologia usou uma técnica simples para calcular os parâmetros de espalhamentos
[S] em sólidos e líquidos e com seu processamento obter as propriedades dielétricas dos
materiais considerados. Além disso, um modelo matemático é apresentado para os
parâmetros de transmissão relacionado com a constante dielétrica εr
. Nos procedimentos
experimentais, os parâmetros [S] são coletados em espaço livre pelo Vector Network
Analyzer (VNA), usando antenas tipo corneta e também antenas planares com
metamaterial. Os resultados teóricos e experimentais são validados através de coerências
métricas obtidas."
8,doutorado,28,Aug,2018,Interação humano-robô na programação e execução de tarefas utilizando uma linguagem de programação por meio de gestos,"Nascimento Júnior, Wellington Barbosa do",Interação humano-robô;Desenvolvimento de linguagem de programação;Programação de robôs;Experiência do usuário;Processo de desenvolvimento de gestos,,"A interação com robôs móveis de forma mais amigável utilizando linguagens naturais tem se apresentado como um desafio e é objeto de vários estudos. Este trabalho faz um levantamento das tarefas de um robô móvel com rodas - Robô-Carrinho, e realiza um procedimento para desenvolvimento de um alfabeto de gestos com um foco particular na elaboração de uma linguagem de programação por meio de gestos para o robô. O objetivo é o de suprir algumas lacunas existentes nos trabalhos relacionados. Por meio da análise comparativa destes trabalhos se constatou a falta de processos para desenvolvimento de gestos e ausência de metodologia para validação da linguagem descrita. Outro ponto observado é que o uso da linguagem natural para a comunicação entre o humano e o robô tem o propósito de condução dos mesmos em trajetórias estabelecidas ou para realizar tarefas pré-definidas. Dessa forma est pesquisa apresenta uma linguagem de programação por meio de gestos, que permite a usuários sem experiência ou quase nenhuma experiência em programação ou robótica possam programar um robô com rodas de forma simplificada e satisfatória. Para alcançar o objetivo uma metodologia para o desenvolvimento do alfabeto de gestos é descrita e em seguida executada com a participação de voluntários. Para validar a eficiência da linguagem de programação dois experimentos foram realizados com usuários reais. Foram usadas as técnicas de Ensaio de interação e Experiência do Usuário. Os resultados são satisfatórios e mostram que a linguagem de programação desenvolvida atende aos requisitos de aprendizado, facilidade de uso, eficiência, memorização, baixa taxa de erro e satisfação do usuário e pode ser utilizada como alternativa ao ensino e aprendizagem de programação e robótica."
9,doutorado,17,Aug,2018,Uma metodologia estatística para análise do instrumento de avaliação do Programa Nacional de Melhoria do Acesso e da Qualidade da Atenção Básica (PMAQ-AB),"Souza, Gustavo Fontoura de",PMAQ-AB;Dados ausentes;Qualificação de instrumento;Validação;Teoria de resposta ao item,"The National Program for the Improvement of Access and Quality of Primary Care
(PMAQ-AB) is a program of the Ministry of Health aimed at improving access and quality in Primary Health Care. The third step of the Program is the external evaluation. It
is a set of actions that verifies the conditions of access and quality of the Primary Care
of the teams participating in the program. This phase presents an extensive questionnaire that deals with several dimensions of Primary Care. This work proposes, based on
statistical methodologies, to analyze the evaluation (questionnaires) instrument indicating
weaknesses and proposing improvements. The first approach is concerned with the excess
of missing data that is handled through an indicator constructed to provide a cutoff point
of missing data maximizing the amount of information maintained. The second approach
seeks to validate the set of items (questions) that present a single construct, for which the
Item Response Theory (IRT) is used to identify the items that present low discrimination
in order to, if necessary, be reformulated or removed from the questionnaire. This Technique was used in a group formed by 57 variables from PMAQ-AB and results show 27
variables need to be reviewed, reformulated or even eliminated from the instrument due
to their low discrimination.","O Programa Nacional de Melhoria do Acesso e da Qualidade da Atenção Básica
(PMAQ-AB) é um programa do Ministério da saúde que visa à melhoria da qualidade
na Atenção Básica na Saúde. A terceira fase do Programa consiste na avaliação externa,
que é um conjunto de ações que visa averiguar as condições de acesso e de qualidade
da Atenção Básica das equipes participantes do programa. Esta fase apresenta um extenso questionário que versa sobre diversas dimensões da Atenção Básica. Este trabalho
propõe-se a, utilizando-se de metodologias estatísticas, analisar o instrumento de avaliação indicando fragilidades e propondo melhorias ao mesmo. A primeira abordagem diz
respeito ao excesso de dados faltantes que são tratados através de um indicador construído
para fornecer um ponto de corte de dados faltantes maximizando a quantidade de informação mantida. Já a segunda abordagem procura validar o conjunto de itens (questões)
que apresentam um único constructo, para isso foi utilizada a Teoria de Resposta ao Item
(TRI) visando identificar os itens que apresentam baixa discriminação para, se for o caso,
ser reformulado ou eliminado do questionário. Essa técnica foi aplicada a um conjunto
de 57 variáveis presentes no instrumento do PMAQ-AB e os resultados mostram que 27
precisam ser revistas, reformuladas ou até eliminadas do instrumento em função da baixa
discriminação."
